file_path,artist,title,stream_count,source_url,archive_item,license_url
music\low_stream\Senmuth - 05_-_Hiram_Bingem.mp3,Senmuth,05_-_Hiram_Bingem,830,https://archive.org/download/snmth013/05_-_Hiram_Bingem.mp3,https://archive.org/details/snmth013,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Unknown - 03 MIL MENTIRAS.mp3,Unknown,03 MIL MENTIRAS,949,https://archive.org/download/diccionarioparahacercanciones/Diccionario%20para%20hacer%20canciones/03%20MIL%20MENTIRAS.mp3,https://archive.org/details/diccionarioparahacercanciones,
music\low_stream\Crenels - F-Crenels-Harvest Dance-Forest Horizon.mp3,Crenels,F-Crenels-Harvest Dance-Forest Horizon,999,https://archive.org/download/foresthorizon/F-Crenels-Harvest%20Dance-Forest%20Horizon.mp3,https://archive.org/details/foresthorizon,https://creativecommons.org/licenses/by-sa/4.0/
music\low_stream\Solypsis - 06_the_mouth_-_consumedps_vbr.mp3,Solypsis,06_the_mouth_-_consumedps_vbr,934,https://archive.org/download/hemp038/06_the_mouth_-_consumedps_vbr.mp3,https://archive.org/details/hemp038,http://creativecommons.org/licenses/by-nc-sa/3.0/us/
music\low_stream\Charles Rice Goff III - 04GriddlebonePart1Nov9.mp3,Charles Rice Goff III,04GriddlebonePart1Nov9,804,https://archive.org/download/JourneeDeParis/04GriddlebonePart1Nov9.mp3,https://archive.org/details/JourneeDeParis,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Unknown - A oscuras con los curas.mp3,Unknown,A oscuras con los curas,790,https://archive.org/download/apocalipstick/Protesis%20PIP/A%20oscuras%20con%20los%20curas.mp3,https://archive.org/details/apocalipstick,
music\low_stream\S.Muller - ssr051g_02_nightnoise_input_2_input_vbr.mp3,S.Muller,ssr051g_02_nightnoise_input_2_input_vbr,941,https://archive.org/download/ssr051g_nightnoise_forgotten_highland/ssr051g_02_nightnoise_input_2_input_vbr.mp3,https://archive.org/details/ssr051g_nightnoise_forgotten_highland,
music\low_stream\Jimmy Spits - JimmySpits-LeaPsAndBounds-10-TheStorm_vbr.mp3,Jimmy Spits,JimmySpits-LeaPsAndBounds-10-TheStorm_vbr,758,https://archive.org/download/JimmySpits-LeaPsAndBounds.2008/JimmySpits-LeaPsAndBounds-10-TheStorm_vbr.mp3,https://archive.org/details/JimmySpits-LeaPsAndBounds.2008,http://creativecommons.org/licenses/by-nc/3.0/us/
music\low_stream\Visionespanoramik - 08_-_VisionespanoramiK_-_El_Mecenas.mp3,Visionespanoramik,08_-_VisionespanoramiK_-_El_Mecenas,976,https://archive.org/download/EGAMIREC014/08_-_VisionespanoramiK_-_El_Mecenas.mp3,https://archive.org/details/EGAMIREC014,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\SunWave - 7 - Sharp Lounge.mp3,SunWave,7 - Sharp Lounge,814,https://archive.org/download/SN007SW/7%20-%20Sharp%20Lounge.mp3,https://archive.org/details/SN007SW,http://creativecommons.org/licenses/by-nc-nd/4.0/
music\low_stream\N Dropkick - N Dropkick - Is Jazz a Gateway Drug- - 06 Dude.mp3,N Dropkick,N Dropkick - Is Jazz a Gateway Drug- - 06 Dude,789,https://archive.org/download/NDropkick-Is_Jazz_a_Gateway_Drug/N%20Dropkick%20-%20Is%20Jazz%20a%20Gateway%20Drug-%20-%2006%20Dude.mp3,https://archive.org/details/NDropkick-Is_Jazz_a_Gateway_Drug,http://creativecommons.org/licenses/by-nc-nd/4.0/
music\low_stream\Yips - 07. Box.mp3,Yips,07. Box,808,https://archive.org/download/MNMN418/07.%20Box.mp3,https://archive.org/details/MNMN418,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Adrián Juárez - tlhotra033_-_adrian_juarez_-_20_-_melocoton.mp3,Adrián Juárez,tlhotra033_-_adrian_juarez_-_20_-_melocoton,966,https://archive.org/download/tlhotra033/tlhotra033_-_adrian_juarez_-_20_-_melocoton.mp3,https://archive.org/details/tlhotra033,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\Thus The Tinsilemen - 01-Thus_The_Tinsilemen-Wait_Here.mp3,Thus The Tinsilemen,01-Thus_The_Tinsilemen-Wait_Here,994,https://archive.org/download/BS019/01-Thus_The_Tinsilemen-Wait_Here.mp3,https://archive.org/details/BS019,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\HolyHertz - Holyhertz - Kick n Base Made in Barcelona - 05 - Scarf Ace.mp3,HolyHertz,Holyhertz - Kick n Base Made in Barcelona - 05 - Scarf Ace,901,https://archive.org/download/BPIST003/Holyhertz%20-%20Kick%20n%20Base%20Made%20in%20Barcelona%20-%2005%20-%20Scarf%20Ace.mp3,https://archive.org/details/BPIST003,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\Ice Breathing - 03MyBrainCellsMustDie_64kb.mp3,Ice Breathing,03MyBrainCellsMustDie_64kb,852,https://archive.org/download/contra35/03MyBrainCellsMustDie_64kb.mp3,https://archive.org/details/contra35,http://creativecommons.org/licenses/by-nc/2.5/ca/
music\low_stream\Nux Vomica - AuricularRecords-SpindalAlpha-09GlassBox.mp3,Nux Vomica,AuricularRecords-SpindalAlpha-09GlassBox,918,https://archive.org/download/NuxVomica-SpindalAlpha/AuricularRecords-SpindalAlpha-09GlassBox.mp3,https://archive.org/details/NuxVomica-SpindalAlpha,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Unknown - Track03.mp3,Unknown,Track03,827,https://archive.org/download/Mz-n710PaysagesFerroviairesgfr010/Track03.mp3,https://archive.org/details/Mz-n710PaysagesFerroviairesgfr010,http://creativecommons.org/licenses/by-nd/3.0/
music\low_stream\The Sharks Megabyte - 02-GhoulPatrol.mp3,The Sharks Megabyte,02-GhoulPatrol,933,https://archive.org/download/TFR705-TheSharksMegabyte-011011001101100110110/02-GhoulPatrol.mp3,https://archive.org/details/TFR705-TheSharksMegabyte-011011001101100110110,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\serocell - 15_serocell14.mp3,serocell,15_serocell14,935,https://archive.org/download/UN0009/15_serocell14.mp3,https://archive.org/details/UN0009,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\Stillborn Blues - 13_The_Moon_Made_Me_Do_It.mp3,Stillborn Blues,13_The_Moon_Made_Me_Do_It,966,https://archive.org/download/eg0_009/13_The_Moon_Made_Me_Do_It.mp3,https://archive.org/details/eg0_009,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\chris@carolinalivemusic.net - 04.mp3,chris@carolinalivemusic.net,04,914,https://archive.org/download/elmwood2008-01-17/04.mp3,https://archive.org/details/elmwood2008-01-17,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
music\low_stream\hash-head - 10.Loneliness.mp3,hash-head,10.Loneliness,996,https://archive.org/download/hash-head-extrasolar-worlds/10.Loneliness.mp3,https://archive.org/details/hash-head-extrasolar-worlds,http://creativecommons.org/licenses/by-sa/3.0/
music\low_stream\New Directions - Meaty2_64kb.mp3,New Directions,Meaty2_64kb,918,https://archive.org/download/HON0003GohLeeKwangWarmAndMeaty/Meaty2_64kb.mp3,https://archive.org/details/HON0003GohLeeKwangWarmAndMeaty,
music\low_stream\Rovar17 - 01Wormhole_vbr.mp3,Rovar17,01Wormhole_vbr,929,https://archive.org/download/SA29-Rovar17-EnglishLetter/01Wormhole_vbr.mp3,https://archive.org/details/SA29-Rovar17-EnglishLetter,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
music\low_stream\Buben vs Anton Mobin - JNN118-05-BOFh.mp3,Buben vs Anton Mobin,JNN118-05-BOFh,867,https://archive.org/download/Jnn118OnTheDifferentSideOfTheObject/JNN118-05-BOFh.mp3,https://archive.org/details/Jnn118OnTheDifferentSideOfTheObject,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\mr&mrsBrian - mrmrsBrian__so_not_polite__60.mp3,mr&mrsBrian,mrmrsBrian__so_not_polite__60,793,https://archive.org/download/headphonica.hpcd047/mrmrsBrian__so_not_polite__60.mp3,https://archive.org/details/headphonica.hpcd047,http://creativecommons.org/licenses/by-nc-sa/3.0/de/
music\low_stream\HICC - 008-Carole-BewareOfTheBogets.mp3,HICC,008-Carole-BewareOfTheBogets,848,https://archive.org/download/24hrartypeople_928/008-Carole-BewareOfTheBogets.mp3,https://archive.org/details/24hrartypeople_928,
music\low_stream\Pika Holzschuh - 04PikaHolzschuh_AnablitBintaal.mp3,Pika Holzschuh,04PikaHolzschuh_AnablitBintaal,813,https://archive.org/download/onmp143/04PikaHolzschuh_AnablitBintaal.mp3,https://archive.org/details/onmp143,http://creativecommons.org/licenses/by/3.0/nl/
music\low_stream\Thomas Park - 01_Many_Engines.mp3,Thomas Park,01_Many_Engines,832,https://archive.org/download/ThomasParkManyEngines/01_Many_Engines.mp3,https://archive.org/details/ThomasParkManyEngines,http://creativecommons.org/publicdomain/mark/1.0/
music\low_stream\Bruce Wain - named_included_strategically.mp3,Bruce Wain,named_included_strategically,817,https://archive.org/download/Action_Cities_Office_Expanded/named_included_strategically.mp3,https://archive.org/details/Action_Cities_Office_Expanded,https://creativecommons.org/licenses/by-nd/4.0/
music\low_stream\Thomas Park - Track20210521074102959441.12.mp3,Thomas Park,Track20210521074102959441.12,874,https://archive.org/download/1000WorldSongsInADay/Track20210521074102959441.12.mp3,https://archive.org/details/1000WorldSongsInADay,http://creativecommons.org/publicdomain/mark/1.0/
music\low_stream\Arzathon - Arzathon - Caught In A Final Moment - 02 Moses.mp3,Arzathon,Arzathon - Caught In A Final Moment - 02 Moses,969,https://archive.org/download/CaughtInAFinalMoment/Arzathon%20-%20Caught%20In%20A%20Final%20Moment%20-%2002%20Moses.mp3,https://archive.org/details/CaughtInAFinalMoment,http://creativecommons.org/licenses/by-nc-nd/4.0/
music\low_stream\Jack Hertz - Jack_Hertz_Dark_Destinations_01_Dark_Destinations_Live_tribute_performance_for_Peter_Sleazy_Christopherson.mp3,Jack Hertz,Jack_Hertz_Dark_Destinations_01_Dark_Destinations_Live_tribute_performance_for_Peter_Sleazy_Christopherson,978,https://archive.org/download/sPE_0076/Jack_Hertz_Dark_Destinations_01_Dark_Destinations_Live_tribute_performance_for_Peter_Sleazy_Christopherson.mp3,https://archive.org/details/sPE_0076,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\Unknown - 1.AntaraLain-ScenesFamiliar.mp3,Unknown,1.AntaraLain-ScenesFamiliar,808,https://archive.org/download/VaTheLoversGuideToMusic/1.AntaraLain-ScenesFamiliar.mp3,https://archive.org/details/VaTheLoversGuideToMusic,http://creativecommons.org/licenses/by-nc-sa/4.0/
music\low_stream\Unknown - 04 Más mistress que el papa.mp3,Unknown,04 Más mistress que el papa,887,https://archive.org/download/ekinoyano/Ekino%20Yano/04%20M%C3%A1s%20mistress%20que%20el%20papa.mp3,https://archive.org/details/ekinoyano,
music\low_stream\AViD (B. Ruskin) - 05_some_days_are_better.mp3,AViD (B. Ruskin),05_some_days_are_better,757,https://archive.org/download/Everyones_Looking_Nobodys_Buying/05_some_days_are_better.mp3,https://archive.org/details/Everyones_Looking_Nobodys_Buying,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
music\low_stream\Unknown - ouimnet021-08-observation_point_-_columnism.mp3,Unknown,ouimnet021-08-observation_point_-_columnism,793,https://archive.org/download/ouimnet021/ouimnet021-08-observation_point_-_columnism.mp3,https://archive.org/details/ouimnet021,http://creativecommons.org/licenses/by-nc-nd/2.5/
music\low_stream\Internet Daemon Netlabel - 11 - Humanfobia - Spectres and Holograms.mp3,Internet Daemon Netlabel,11 - Humanfobia - Spectres and Holograms,767,https://archive.org/download/va-ghosts-in-the-machine/11%20-%20Humanfobia%20-%20Spectres%20and%20Holograms.mp3,https://archive.org/details/va-ghosts-in-the-machine,https://creativecommons.org/licenses/by-nc-nd/4.0/
music\low_stream\Abstract Nostalgic Fractals Systems - 02_abstract_nostalgic_fractals_systems_-_floating_in_a_lake_of_happiness.mp3,Abstract Nostalgic Fractals Systems,02_abstract_nostalgic_fractals_systems_-_floating_in_a_lake_of_happiness,941,https://archive.org/download/enrmp294_abstract_nostalgic_fractals_systems_-_the_inner_peace/02_abstract_nostalgic_fractals_systems_-_floating_in_a_lake_of_happiness.mp3,https://archive.org/details/enrmp294_abstract_nostalgic_fractals_systems_-_the_inner_peace,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\Tapu Records - 6.marilliA2.mp3,Tapu Records,6.marilliA2,795,https://archive.org/download/MichelBanabila19831987freeDownload102015ManillaReprise/6.marilliA2.mp3,https://archive.org/details/MichelBanabila19831987freeDownload102015ManillaReprise,http://creativecommons.org/licenses/by-nc-sa/3.0/
music\low_stream\Chromatic - 01.141_Chromatic_PI.mp3,Chromatic,01.141_Chromatic_PI,883,https://archive.org/download/PialternativeBo/01.141_Chromatic_PI.mp3,https://archive.org/details/PialternativeBo,
music\low_stream\Dither Craf - RufusDobroHandmade.mp3,Dither Craf,RufusDobroHandmade,949,https://archive.org/download/DitherCraf-TheLegendOfRufusFunk-Atrofact001old/RufusDobroHandmade.mp3,https://archive.org/details/DitherCraf-TheLegendOfRufusFunk-Atrofact001old,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Unknown - 09 (14).mp3,Unknown,09,809,https://archive.org/download/peckerwoodthree2009-08-08/09.mp3,https://archive.org/details/peckerwoodthree2009-08-08,http://creativecommons.org/licenses/by-nc-nd/3.0/us/
music\low_stream\Miguel Perez - 02-conRespetoALaSeora.mp3,Miguel Perez,02-conRespetoALaSeora,847,https://archive.org/download/ore80TheSkullMask-Macabra/02-conRespetoALaSeora.mp3,https://archive.org/details/ore80TheSkullMask-Macabra,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Unknown - 21.toccata3.mp3,Unknown,21.toccata3,797,https://archive.org/download/Symphonicachapter2/21.toccata3.mp3,https://archive.org/details/Symphonicachapter2,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Various Artists - 06 (2).mp3,Various Artists,06,922,https://archive.org/download/copo02/06.mp3,https://archive.org/details/copo02,
music\low_stream\eskimeaux - 06Superstar.mp3,eskimeaux,06Superstar,868,https://archive.org/download/Mam171-Eskimeaux-IgluSongs2011/06Superstar.mp3,https://archive.org/details/Mam171-Eskimeaux-IgluSongs2011,http://creativecommons.org/licenses/by-nc-nd/3.0/
music\low_stream\Limbo's Luna Park - 09_Break_It_Before_It_Gets_Lost.mp3,Limbo's Luna Park,09_Break_It_Before_It_Gets_Lost,859,https://archive.org/download/eg0_008/09_Break_It_Before_It_Gets_Lost.mp3,https://archive.org/details/eg0_008,http://creativecommons.org/licenses/by-nc-sa/2.0/fr/
music\low_stream\Justin Robert - 02 Aunty Shakespeare.mp3,Justin Robert,02 Aunty Shakespeare,906,https://archive.org/download/thebestofjustinrobert/02%20Aunty%20Shakespeare.mp3,https://archive.org/details/thebestofjustinrobert,
music\low_stream\Thomas Park - Track20210521103502912645.25.mp3,Thomas Park,Track20210521103502912645.25,874,https://archive.org/download/1000WorldSongsInADay/Track20210521103502912645.25.mp3,https://archive.org/details/1000WorldSongsInADay,http://creativecommons.org/publicdomain/mark/1.0/
music\low_stream\Humanfobia - 07 - Jorōgumo.mp3,Humanfobia,07 - Jorōgumo,801,https://archive.org/download/humanfobia-a-gloomy-collection/07%20-%20Jor%C5%8Dgumo.mp3,https://archive.org/details/humanfobia-a-gloomy-collection,https://creativecommons.org/licenses/by-nc-nd/4.0/
